Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|ID|Кол-во на изд.|Масса|Покуп. изд.|Сумм.кол-во|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|4|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|5|комплектация|изготовление|контроль|030101|комплектация|изготовление|контроль
Компенсатор тканевый|КТ.1408182.11.00|5||||0x108000407|1|0||5|Время: 12.1 мин.$Операции:$005||||Время: 3.8 мин.$Операции:$010||||Время: 12.1 мин.$Операции:$015||||||||Время: 12.1 мин.$Операции:$020||||||||Время: 12.1 мин.$Операции:$025|||||||||||||||
    Корпус|    КТ.1408182.11.03|5||||0x108000408|1|154.86||5|Время: 12.1 мин.$Операции:$005||||Время: 3.8 мин.$Операции:$010||||Время: 12.1 мин.$Операции:$015||||||||||||||||Время: 12.1 мин.$Операции:$020||||||||Время: 12.1 мин.$Операции:$025|||||||
        Кольцо|        КТ.1408182.11.03.004|5|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800063F|1|7.79||10|||||Время: 12.1 мин.$Операции:$005|5 шт. (полный компл.)|||Время: 3.8 мин.$Операции:$010|3 шт. (3компл.)|||||||||||||||Время: 12.1 мин.$Операции:$015||||Время: 12.1 мин.$Операции:$020||||Время: 12.1 мин.$Операции:$025|||||||
        Обечайка|        КТ.1408182.11.03.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000640|1|43.85||5|Время: 12.1 мин.$Операции:$005|3 шт. (3компл.)|||Время: 12.1 мин.$Операции:$010||||Время: 3.8 мин.$Операции:$015||||||||||||||||Время: 12.1 мин.$Операции:$020||||||||Время: 12.1 мин.$Операции:$025|||||||
        Обечайка|        КТ.1408182.11.03.005|5|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000641|1|10.68||10|||||||||Время: 12.1 мин.$Операции:$005|5 шт. (полный компл.)|||Время: 12.1 мин.$Операции:$010||||Время: 3.8 мин.$Операции:$015||||Время: 12.1 мин.$Операции:$020||||Время: 12.1 мин.$Операции:$025|||||||||||||||
        Кольцо|        КТ.1408182.11.03.006|5|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000642|1|8.41||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Обечайка|        КТ.1408182.11.03.007|5|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000643|1|8.54||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Обечайка|        КТ.1408182.11.03.003|5|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000644|1|30.05||5|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Конус|        КТ.1408182.11.03.002|5|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000645|1|32.94||5|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Кольцо|        КТ.1408182.11.03.008|5|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000646|1|12.6||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Корпус|    КТ.1408182.11.04|5||||0x108000409|1|86.33||5|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Кольцо|        КТ.1408182.11.03.008|5|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000647|1|12.6||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Обечайка|        КТ.1408182.11.04.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000648|1|38.3||5|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Кольцо|        КТ.1408182.11.03.004|5|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000649|1|7.79||10|||||Время: 12.1 мин.$Операции:$005||||Время: 3.8 мин.$Операции:$010||||||||||||||||Время: 12.1 мин.$Операции:$015||||Время: 12.1 мин.$Операции:$020||||Время: 12.1 мин.$Операции:$025|||||||
        Обечайка|        КТ.1408182.11.03.005|5|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064A|1|10.68||10|||||||||Время: 12.1 мин.$Операции:$005||||Время: 12.1 мин.$Операции:$010||||Время: 3.8 мин.$Операции:$015||||Время: 12.1 мин.$Операции:$020||||Время: 12.1 мин.$Операции:$025|||||||||||||||
        Кольцо|        КТ.1408182.11.03.006|5|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064B|1|8.41||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Обечайка|        КТ.1408182.11.03.007|5|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064C|1|8.54||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Планка прижимная|    КТ.1408182.11.05|5||||0x10800040A|1|9.8||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800064D|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800064E|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800064F|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000650|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000651|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000652|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Планка прижимная|    КТ.1408182.11.05|5||||0x10800040B|1|9.8||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000653|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
