Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|ID|Кол-во на изд.|Масса|Покуп. изд.|Сумм.кол-во|010100|комплектация|изготовление|контроль|010101|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|060101|комплектация|изготовление|контроль|010104|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|010303|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль|010402|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль
Компенсатор тканевый|КТ.1408182.11.00|4||||0x108000407|1|0||4|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||||||Время: 3.1 мин.$Операции:$015||||Время: 26 мин.$Операции:$020;025||||||||||||Время: 13.1 мин.$Операции:$030|||||||||||||||||||
    Корпус|    КТ.1408182.11.03|4||||0x108000408|1|154.86||4|Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|||Время: 2.1 мин.$Операции:$010||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030||||Время: 13.1 мин.$Операции:$020||||Время: 3.1 мин.$Операции:$015|||||||||||||||||||||||||||||||||||
        Кольцо|        КТ.1408182.11.03.004|4|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800063F|1|7.79||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3051 Завершен$3052 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3058 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3059 Завершен||||||||||||||||||Время: 13.1 мин.$Операции:$020|4 шт. (полный компл.)|Полный компл.$3064 Завершен||||||Время: 13.1 мин.$Операции:$025|4 шт. (полный компл.)|Полный компл.$3107 Завершен||Время: 13.1 мин.$Операции:$030|4 шт. (полный компл.)|Полный компл.$3115 Завершен|
        Обечайка|        КТ.1408182.11.03.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000640|1|43.85||4|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3053 Завершен$3054 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3056 Завершен$3060 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3062 Завершен$3065 Завершен||||||||||||||||||Время: 13.1 мин.$Операции:$020|4 шт. (полный компл.)|Полный компл.$3067 Завершен||||||Время: 13.1 мин.$Операции:$025|4 шт. (полный компл.)|Полный компл.$3114 Завершен||Время: 13.1 мин.$Операции:$030|4 шт. (полный компл.)|Полный компл.$3116 Завершен|
        Обечайка|        КТ.1408182.11.03.005|4|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000641|1|10.68||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3055 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3057 Завершен$3061 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3063 Завершен$3066 Завершен||||||||||||||||||Время: 13.1 мин.$Операции:$020|4 шт. (полный компл.)|Полный компл.$3068 Завершен||||||Время: 13.1 мин.$Операции:$025|4 шт. (полный компл.)|Полный компл.$3108 Завершен||Время: 13.1 мин.$Операции:$030|4 шт. (полный компл.)|Полный компл.$3117 Завершен|
        Кольцо|        КТ.1408182.11.03.006|4|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000642|1|8.41||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3069 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3074 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3092 Завершен||||||||||||||||||Время: 13.1 мин.$Операции:$020|4 шт. (полный компл.)|Полный компл.$3102 Завершен||||||Время: 13.1 мин.$Операции:$025|4 шт. (полный компл.)|Полный компл.$3109 Завершен||Время: 13.1 мин.$Операции:$030|4 шт. (полный компл.)|Полный компл.$3118 Завершен|
        Обечайка|        КТ.1408182.11.03.007|4|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000643|1|8.54||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3070 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3075 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3093 Завершен||||||||||||||||||Время: 13.1 мин.$Операции:$020|4 шт. (полный компл.)|Полный компл.$3103 Завершен||||||Время: 13.1 мин.$Операции:$025|4 шт. (полный компл.)|Полный компл.$3110 Завершен||Время: 13.1 мин.$Операции:$030|4 шт. (полный компл.)|Полный компл.$3119 Завершен|
        Обечайка|        КТ.1408182.11.03.003|4|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000644|1|30.05||4|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3071 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3076 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3091 Завершен||||||||||||||||||Время: 13.1 мин.$Операции:$020|4 шт. (полный компл.)|Полный компл.$3104 Завершен||||||Время: 13.1 мин.$Операции:$025|4 шт. (полный компл.)|Полный компл.$3111 Завершен||Время: 13.1 мин.$Операции:$030|4 шт. (полный компл.)|Полный компл.$3120 Завершен|
        Конус|        КТ.1408182.11.03.002|4|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000645|1|32.94||4|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3072 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3077 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3094 Завершен||||||||||||||||||Время: 13.1 мин.$Операции:$020|4 шт. (полный компл.)|Полный компл.$3105 Завершен||||||Время: 13.1 мин.$Операции:$025|4 шт. (полный компл.)|Полный компл.$3112 Завершен||Время: 13.1 мин.$Операции:$030|4 шт. (полный компл.)|Полный компл.$3121 Завершен|
        Кольцо|        КТ.1408182.11.03.008|4|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000646|1|12.6||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3073 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3078 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3095 Завершен||||||||||||||||||Время: 13.1 мин.$Операции:$020|4 шт. (полный компл.)|Полный компл.$3106 Завершен||||||Время: 13.1 мин.$Операции:$025|4 шт. (полный компл.)|Полный компл.$3113 Завершен||Время: 13.1 мин.$Операции:$030|4 шт. (полный компл.)|Полный компл.$3122 Завершен|
