Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|Кол-во на изд.|Масса|Покуп. изд.|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|4|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|5|комплектация|изготовление|контроль|030101|комплектация|изготовление|контроль
Компенсатор тканевый|КТ.1408182.11.00|6||||6|0||Время: 12.6 мин.$Операции:$005||||Время: 17.8 мин.$Операции:$010||||Время: 12.6 мин.$Операции:$015||||||||Время: 12.6 мин.$Операции:$020||||||||Время: 12.6 мин.$Операции:$025|||||||||||||||
    Корпус|    КТ.1408182.11.03|6||||6|154.86||Время: 12.6 мин.$Операции:$005||||Время: 17.8 мин.$Операции:$010||||Время: 12.6 мин.$Операции:$015||||||||||||||||Время: 12.6 мин.$Операции:$020||||||||Время: 12.6 мин.$Операции:$025|||||||
        Кольцо|        КТ.1408182.11.03.004|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|6|7.79||||||Время: 12.6 мин.$Операции:$005||||Время: 17.8 мин.$Операции:$010||||||||||||||||Время: 12.6 мин.$Операции:$015||||Время: 12.6 мин.$Операции:$020||||Время: 12.6 мин.$Операции:$025|||||||
        Обечайка|        КТ.1408182.11.03.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|6|43.85||Время: 12.6 мин.$Операции:$005||||Время: 12.6 мин.$Операции:$010||||Время: 17.8 мин.$Операции:$015||||||||||||||||Время: 12.6 мин.$Операции:$020||||||||Время: 12.6 мин.$Операции:$025|||||||
        Обечайка|        КТ.1408182.11.03.005|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|6|10.68||||||||||Время: 12.6 мин.$Операции:$005||||Время: 12.6 мин.$Операции:$010||||Время: 17.8 мин.$Операции:$015||||Время: 12.6 мин.$Операции:$020||||Время: 12.6 мин.$Операции:$025|||||||||||||||
        Кольцо|        КТ.1408182.11.03.006|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|6|8.41||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Обечайка|        КТ.1408182.11.03.007|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|6|8.54||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Обечайка|        КТ.1408182.11.03.003|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|6|30.05||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Конус|        КТ.1408182.11.03.002|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|6|32.94||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Кольцо|        КТ.1408182.11.03.008|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|6|12.6||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
